Nom,Description,Url de l'image,id
Short Compétition Ribolla KAPPA Junior,short 100% polyester<br>kappa brodé sur la jambe gauche<br>,http://www.kappastore.fr/media/catalog/product/cache/1/image/400x612/9df78eab33525d08d6e5fb8d27136e95/3/0/3024a30_078_ribolla_short.jpg,1
Mini Ballon KAPPA CARRARE,Mini Ball<br>,http://www.kappastore.fr/media/catalog/product/cache/1/image/400x400/9df78eab33525d08d6e5fb8d27136e95/3/0/30152t0_901_carrare_miniball.jpg,1
Short Compétition Ribolla KAPPA Homme,short 100% polyester<br>kappa brodé sur la jambe gauche<br>,http://www.kappastore.fr/media/catalog/product/cache/1/image/400x612/9df78eab33525d08d6e5fb8d27136e95/3/0/3024a30_808_ribolla_short.jpg,1
LUGO SHORT - YELLOW,Short de football Matière souple et respirante Taille élastique Logo Omini imprimés sur la jambe gauche 100 % polyeste,http://www.kappastore.fr/media/catalog/product/cache/1/image/400x612/9df78eab33525d08d6e5fb8d27136e95/3/0/3015dd0_694.jpg,1
LUGO SHORT - BLUE MARINE,Short de football Matière souple et respirante Taille élastique Logo Omini imprimés sur la jambe gauche 100 % polyeste,http://www.kappastore.fr/media/catalog/product/cache/1/image/400x612/9df78eab33525d08d6e5fb8d27136e95/3/0/3015dd0_193.jpg,1
LUGO SHORT - GREEN,Short de football Matière souple et respirante Taille élastique Logo Omini imprimés sur la jambe gauche 100 % polyeste,http://www.kappastore.fr/media/catalog/product/cache/1/image/400x612/9df78eab33525d08d6e5fb8d27136e95/3/0/3015dd0_078.jpg,1
LUGO SHORT - BLACK,Short de football Matière souple et respirante Taille élastique Logo Omini imprimés sur la jambe gauche 100 % polyeste,http://www.kappastore.fr/media/catalog/product/cache/1/image/400x612/9df78eab33525d08d6e5fb8d27136e95/3/0/3015dd0_005.jpg,1
LUGO SHORT - RED,Short de football Matière souple et respirante Taille élastique Logo Omini imprimés sur la jambe gauche 100 % polyeste,http://www.kappastore.fr/media/catalog/product/cache/1/image/400x612/9df78eab33525d08d6e5fb8d27136e95/3/0/3015dd0_b12.jpg,1
LUGO SHORT - WHITE,Short de football Matière souple et respirante Taille élastique Logo Omini imprimés sur la jambe gauche 100 % polyeste,http://www.kappastore.fr/media/catalog/product/cache/1/image/400x612/9df78eab33525d08d6e5fb8d27136e95/3/0/3015dd0_001.jpg,1
LUGO SHORT - ROYAL,Short de football Matière souple et respirante Taille élastique Logo Omini imprimés sur la jambe gauche 100 % polyeste,http://www.kappastore.fr/media/catalog/product/cache/1/image/400x612/9df78eab33525d08d6e5fb8d27136e95/3/0/3015dd0_808.jpg,1
Tee-Shirt Lucera KAPPA Homme,Le classique de l'après vestiaire<br>Col  rond<br>Omini brodé sur la poitrine<br>Le confort du coton et de la Coupe standard<br>100 % cotton,http://www.kappastore.fr/media/catalog/product/cache/1/image/400x612/9df78eab33525d08d6e5fb8d27136e95/3/0/302p310_076_lucera_teeshirt.jpg,1
Tee-Shirt Lucera KAPPA Junior,Le classique de l'après vestiaire<br>Col  rond<br>Omini brodé sur la poitrine<br>Le confort du coton et de la Coupe standard<br>100 % cotton,http://www.kappastore.fr/media/catalog/product/cache/1/image/400x612/9df78eab33525d08d6e5fb8d27136e95/3/0/302p310_076_lucera_teeshirt.jpg,1
Maillot Compétition Carrara KAPPA Junior,MANCHES COURTES<br>100% POLYESTER<br>KAPPA brodé sur la poitrine<br><br>,http://www.kappastore.fr/media/catalog/product/cache/1/image/400x612/9df78eab33525d08d6e5fb8d27136e95/3/0/3024ah0_193_carrara_ss.jpg,1
